Date,Open,High,Low,Close,Adj Close,Volume
2018-04-25,380.052002,391.985992,378.354004,385.376007,378.341187,1024955
2018-04-26,389.231995,389.231995,371.790009,375.324005,368.472687,301001
2018-04-27,374.544006,381.750000,368.164001,375.415985,368.562988,261305
2018-04-30,375.415985,378.858002,371.239014,375.967010,369.103973,166513
2018-05-02,377.298004,378.216003,372.708008,374.544006,367.706940,171186
2018-05-03,374.544006,374.544006,366.786987,371.239014,364.462280,101531
2018-05-04,377.298004,383.953003,361.691986,364.079010,357.432983,627195
2018-05-07,367.658997,371.330994,363.436005,365.364014,358.694519,202278
2018-05-08,365.822998,369.723999,364.584015,367.888000,361.172424,144955
2018-05-09,367.888000,375.600006,364.904999,369.587006,362.840424,290880
2018-05-10,375.462006,379.868011,370.872009,378.445007,371.536713,270772
2018-05-11,369.036011,369.036011,349.941010,354.071991,347.608612,956920
2018-05-14,357.835999,361.645996,342.092987,350.217010,343.824005,472080
2018-05-15,350.675995,356.917999,341.450012,348.289001,341.931183,240155
2018-05-16,347.003998,352.511993,343.837006,344.571014,338.281067,179517
2018-05-17,345.260010,347.371002,334.977997,336.493011,330.350525,240682
2018-05-18,338.282990,338.466003,325.981995,332.269989,326.204620,376528
2018-05-21,332.316010,338.742004,326.899994,330.662994,324.626953,166949
2018-05-22,328.597992,340.118988,323.227997,332.223999,326.159424,345228
2018-05-23,332.316010,335.208008,325.476990,327.541992,321.562897,221041
2018-05-24,327.864014,343.056000,327.634003,340.990997,334.766388,173370
2018-05-25,346.407013,348.839996,337.273010,345.765015,339.453278,357014
2018-05-28,346.085999,349.299011,340.394012,343.515015,337.244354,153305
2018-05-29,345.213989,348.747986,341.036987,347.233002,340.894470,129562
2018-05-30,347.003998,347.876007,342.414001,345.075989,338.776825,93883
2018-05-31,343.332001,351.777008,341.496002,343.148010,336.884033,156424
2018-06-01,347.416992,353.291992,342.276001,351.226990,344.815582,153477
2018-06-04,352.558014,358.019989,339.660004,341.358002,335.126709,153319
2018-06-05,342.414001,348.839996,328.277008,333.967987,327.871613,900162
2018-06-06,331.398010,351.502014,331.398010,349.161011,342.787262,284997
2018-06-07,348.794006,354.347992,343.973999,348.794006,342.426971,231323
2018-06-08,345.902008,351.960999,342.001007,345.855988,339.542603,166979
2018-06-11,348.839996,361.691986,347.325012,356.872009,350.357513,263967
2018-06-12,358.019989,361.278992,339.660004,349.803986,343.418549,242960
2018-06-13,344.250000,350.537994,343.010986,345.260010,338.957520,208414
2018-06-14,344.709015,352.328003,343.377991,345.306000,339.002655,2597881
2018-06-15,345.260010,349.114990,339.798004,346.591003,340.264191,148040
2018-06-18,349.757996,349.757996,338.742004,340.807007,334.585785,116306
2018-06-19,341.496002,344.524994,338.924988,340.716003,334.496399,214219
2018-06-20,343.377991,345.351013,340.118988,341.725006,335.487000,103374
2018-06-21,347.003998,347.003998,333.785004,338.006989,331.836884,153054
2018-06-22,336.493011,346.040009,336.170990,343.882996,337.605621,161846
2018-06-25,341.036987,346.636993,340.256989,342.964996,336.704376,81909
2018-06-26,343.424011,351.640015,342.414001,348.977997,342.607635,159893
2018-06-27,351.548004,351.548004,342.414001,344.019989,337.740112,132868
2018-06-28,344.250000,349.665985,337.915985,345.489014,339.182312,120293
2018-06-29,342.414001,351.273010,342.414001,349.757996,343.373352,86864
2018-07-02,349.757996,350.399994,329.562012,337.044006,330.891449,934156
2018-07-03,341.496002,342.826996,335.988007,339.842987,333.639374,164574
2018-07-04,338.742004,340.485992,332.958008,336.401001,330.260193,158179
2018-07-05,335.070007,336.170990,330.066986,333.647003,327.556458,341574
2018-07-06,330.800995,335.345001,330.480011,332.178009,326.114319,138709
2018-07-09,336.263000,336.263000,331.398010,331.903015,325.844330,164513
2018-07-10,334.794006,338.649994,331.398010,337.226990,331.071136,96216
2018-07-11,337.411011,337.778015,330.755005,332.223999,326.159424,107136
2018-07-12,336.721985,336.721985,328.230988,332.131989,326.069122,66534
2018-07-13,333.234009,333.647003,327.954987,328.690002,322.689972,113634
2018-07-16,329.148987,330.020996,316.204987,317.811005,312.009521,111195
2018-07-17,318.178986,321.666992,312.119995,314.184998,308.449768,711713
2018-07-18,316.709991,316.709991,304.041992,309.182007,303.538055,8640147
2018-07-19,311.201996,318.729004,310.605011,316.756012,310.973816,196318
2018-07-20,316.251007,319.601990,312.717010,317.214996,311.424408,85939
2018-07-23,307.529999,330.388000,307.529999,328.277008,322.284515,169156
2018-07-24,331.398010,335.666992,322.446991,327.174988,321.202606,108678
2018-07-25,327.908997,327.908997,315.791992,322.997986,317.101837,257831
2018-07-26,324.053986,330.204010,323.687012,328.277008,322.284515,149387
2018-07-27,334.059998,342.734985,322.769012,334.565002,328.457733,919112
2018-07-30,334.152008,358.203003,324.237000,351.731995,345.311340,535589
2018-07-31,347.921997,359.902008,347.645996,358.661987,352.114838,440381
2018-08-01,359.397003,365.868988,350.997009,352.191010,345.761993,746364
2018-08-02,353.429993,353.476013,339.292999,342.368011,338.322937,226444
2018-08-03,346.958008,346.958008,340.118988,343.973999,339.909912,192482
2018-08-06,344.066010,356.138000,344.066010,354.531006,350.342194,280700
2018-08-07,354.531006,354.531006,348.014008,350.079010,345.942810,118590
2018-08-08,352.971008,355.312012,342.964996,353.062988,348.891510,139434
2018-08-09,356.550995,356.550995,334.977997,336.675995,332.698151,2018197
2018-08-10,336.721985,343.973999,335.299011,338.834015,334.830658,225252
2018-08-13,339.660004,344.342010,333.049988,338.696014,334.694305,149575
2018-08-14,338.742004,341.312012,334.427002,336.446991,332.471863,120904
2018-08-16,341.450012,343.194000,336.033997,341.541992,337.506683,524282
2018-08-17,342.872986,343.744995,336.446991,340.807007,336.780365,110637
2018-08-20,343.148010,343.332001,337.319000,340.027008,336.009552,153927
2018-08-21,337.824005,339.980988,333.279999,337.593994,333.605316,124246
2018-08-23,340.578003,345.855988,338.191010,338.971008,334.966034,105184
2018-08-24,338.742004,341.036987,335.345001,338.282990,334.286163,95936
2018-08-27,340.532013,351.593994,338.282990,347.325012,343.221344,184801
2018-08-28,348.977997,354.256012,343.928986,345.580994,341.497925,146710
2018-08-29,348.839996,350.859009,342.734985,344.112000,340.046295,115168
2018-08-30,344.250000,353.338013,344.250000,351.226990,347.077240,137356
2018-08-31,348.151001,354.347992,345.167999,351.915009,347.757111,1035232
2018-09-03,353.889008,357.743988,349.299011,352.740997,348.573334,200335
2018-09-04,352.740997,352.740997,344.342010,346.773987,342.676849,133068
2018-09-05,347.003998,347.003998,336.859985,342.046997,338.005676,169466
2018-09-06,339.752014,343.928986,338.329010,341.725006,337.687500,104232
2018-09-07,341.954987,362.609985,338.742004,358.753998,354.515289,676630
2018-09-10,358.571014,364.904999,351.042999,356.459015,352.247437,318100
2018-09-11,357.928009,360.360992,347.233002,348.701996,344.582062,144422
